model_name,lf_type,n_good_lfs,n_lfs,run_id,good_mean,good_std,bad_mean,bad_std,total_mean,total_std,acc,mcc
weasel_nofeats,bad,5,0,0,2.2360678,0.4123016,,,2.2360678,0.4123016,0.999,0.9987504925493486
weasel_nofeats,bad,5,1,0,1.5607755,0.13166241,4.443572,0.0,2.0412416,1.081057,0.844,0.8127124720323187
weasel_nofeats,bad,5,2,0,1.5694911,0.15407442,2.6906507,0.028677702,1.8898224,0.5231842,0.788,0.7433418166982767
weasel_nofeats,bad,5,3,0,1.5807595,0.26431397,2.0794458,0.11702664,1.767767,0.3272394,0.816,0.7742754311202492
weasel_nofeats,bad,5,4,0,1.6102543,0.35585272,1.7371819,0.33630157,1.6666666,0.35297972,0.65,0.5697472087846033
weasel_nofeats,bad,5,5,0,1.6619844,0.20280448,1.5002933,0.20999672,1.5811388,0.22169828,0.649,0.5657571634937268
weasel_nofeats,bad,5,6,0,1.5612446,0.109470285,1.4628168,0.24568489,1.5075568,0.20192415,0.565,0.4645564767986033
weasel_nofeats,bad,5,7,0,1.6461328,0.17415358,1.2985493,0.3188005,1.4433757,0.31825814,0.64,0.5584042501176457
weasel_nofeats,bad,5,8,0,1.6799759,0.7202655,1.2034847,0.30386952,1.3867505,0.5568595,0.608,0.5120840031431148
weasel_nofeats,bad,5,9,0,1.6543213,0.21862169,1.1596311,0.08899634,1.3363062,0.27990496,0.525,0.4076774980593956
weasel_nofeats,bad,5,10,0,1.7492352,0.142622,1.061874,0.2530683,1.2909944,0.3930246,0.567,0.4609101935184922
weasel_nofeats,bad,5,15,0,1.927365,0.42793688,0.84825706,0.22777691,1.1180339,0.5504844,0.576,0.46950911808653595
weasel_nofeats,bad,5,20,0,2.2594752,0.23704542,0.6851312,0.3548089,1.0,0.7131053,0.669,0.5921253426739201
weasel_nofeats,bad,5,25,0,2.2890394,0.5501259,0.6376372,0.47646523,0.9128708,0.78637797,0.514,0.3931891783643052
weasel_nofeats,bad,5,50,0,2.8754025,1.0241934,0.4540796,0.47713947,0.6741999,0.887049,0.586,0.4845567591240947
weasel_nofeats,bad,5,75,0,3.312996,1.0306927,0.3754184,0.37138373,0.559017,0.8374531,0.632,0.5470123191877528
weasel_nofeats,bad,5,100,0,3.4747014,1.9558568,0.33861244,0.4384641,0.48795,0.90071684,0.527,0.4136587017723666
weasel_nofeats,random,5,0,0,2.2360678,0.4123016,,,2.2360678,0.4123016,0.999,0.9987504925493486
weasel_nofeats,random,5,1,0,1.7506821,0.22793481,3.4940386,0.0,2.0412414,0.6822163,1.0,1.0
weasel_nofeats,random,5,2,0,1.5556148,0.35575345,2.7253413,0.03179133,1.8898224,0.6082154,0.996,0.9950031294555711
weasel_nofeats,random,5,3,0,1.3389575,0.15980093,2.4824493,0.19717413,1.767767,0.58051866,0.998,0.9975030011529147
weasel_nofeats,random,5,4,0,1.306175,0.22480375,2.1172814,0.11680808,1.6666666,0.4433768,0.984,0.9800627400683992
weasel_nofeats,random,5,5,0,1.2145479,0.13995425,1.9477297,0.058519967,1.5811388,0.38196176,0.997,0.9962558539493072
weasel_nofeats,random,5,6,0,1.3493717,0.117067255,1.6393772,0.11395638,1.5075568,0.18483716,0.996,0.9950073414124131
weasel_nofeats,random,5,7,0,1.2773163,0.12280063,1.5619898,0.12961747,1.4433757,0.18915783,0.983,0.9789700538676214
weasel_nofeats,random,5,8,0,1.26227,0.43595383,1.4645506,0.098155275,1.3867505,0.29784536,0.951,0.9406983331565922
weasel_nofeats,random,5,9,0,1.1442443,0.092630625,1.443007,0.077059045,1.336306,0.16545384,0.996,0.9950172971948399
weasel_nofeats,random,5,10,0,0.9279314,0.04355593,1.472526,0.05121047,1.2909943,0.2613199,0.999,0.9987509394717989
weasel_nofeats,random,5,15,0,0.8249261,0.062771685,1.2157367,0.039766237,1.1180341,0.1755235,0.998,0.9975005393197791
weasel_nofeats,random,5,20,0,0.87019765,0.054140538,1.0324504,0.032672167,0.99999994,0.07518228,0.996,0.9950027735152506
weasel_nofeats,random,5,25,0,0.91214657,0.122780524,0.91301584,0.026544318,0.9128708,0.055675685,0.953,0.9436123578777554
weasel_nofeats,random,5,50,0,0.76128566,0.099256486,0.66549134,0.026363855,0.6741999,0.0478109,0.994,0.992520944347325
weasel_nofeats,random,5,75,0,0.5997577,0.023623215,0.556301,0.026063377,0.559017,0.027970973,0.995,0.9937628614463828
weasel_nofeats,random,5,100,0,0.46535045,0.021852862,0.48908,0.021708282,0.48795003,0.022295436,0.986,0.9826533001490886
weasel_nofeats,constant,5,0,0,2.2360678,0.4123016,,,2.2360678,0.4123016,0.999,0.9987504925493486
weasel_nofeats,constant,5,1,0,1.7431905,0.18715997,3.5314956,0.0,2.0412414,0.68801326,0.997,0.9962587585825305
weasel_nofeats,constant,5,2,0,1.7186406,0.21291973,2.3177774,0.010829687,1.8898226,0.3250749,0.999,0.9987504831160392
weasel_nofeats,constant,5,3,0,1.6657902,0.18568029,1.9377284,0.2982805,1.767767,0.26878354,0.997,0.9962562569157921
weasel_nofeats,constant,5,4,0,1.9126761,0.39566496,1.3591549,0.1530539,1.6666666,0.41597444,0.999,0.9987504706255717
weasel_nofeats,constant,5,5,0,1.8302639,0.19450882,1.3320136,0.12321381,1.5811388,0.29760876,0.998,0.9974996438330818
weasel_nofeats,constant,5,6,0,1.9021473,0.15375033,1.1787312,0.19230928,1.5075568,0.4008354,0.998,0.9975008545371408
weasel_nofeats,constant,5,7,0,2.1195388,0.30503747,0.9604022,0.1082192,1.4433757,0.6100578,0.998,0.9974996376437031
weasel_nofeats,constant,5,8,0,2.2449906,0.6454063,0.8503505,0.15346943,1.3867505,0.79690987,0.997,0.9962588136154527
weasel_nofeats,constant,5,9,0,2.049873,0.33747992,0.93988013,0.08586037,1.3363063,0.5729674,1.0,1.0
weasel_nofeats,constant,5,10,0,2.2000737,0.16590226,0.83645475,0.12770464,1.2909944,0.6582243,1.0,1.0
weasel_nofeats,constant,5,15,0,2.524856,0.51180977,0.64909333,0.11541997,1.1180341,0.857435,0.999,0.9987503927388893
weasel_nofeats,constant,5,20,0,2.726435,0.42910594,0.56839126,0.104731366,0.99999994,0.8892388,1.0,1.0
weasel_nofeats,constant,5,25,0,3.0505366,0.69129205,0.48533776,0.1273986,0.91287076,1.0035416,0.998,0.9975030028515169
weasel_nofeats,constant,5,50,0,3.9269187,0.987542,0.34892794,0.1461554,0.67419994,1.0798591,1.0,1.0
weasel_nofeats,constant,5,75,0,4.285983,0.7695471,0.31055257,0.14569882,0.559017,0.9914296,0.996,0.9950124808966936
weasel_nofeats,constant,5,100,0,4.6197767,2.3298697,0.2813587,0.22691761,0.48795006,1.0775572,0.999,0.9987501970535125
weasel,bad,5,0,0,2.236068,0.6610563,,,2.236068,0.6610563,0.999,0.9987504925493486
weasel,bad,5,1,0,1.6197392,0.07980884,4.1487527,0.0,2.0412414,0.9453193,0.871,0.8416154822928016
weasel,bad,5,2,0,1.5726548,0.10840247,2.6827412,0.078367114,1.8898222,0.5115041,0.818,0.77392601253837
weasel,bad,5,3,0,1.6382515,0.14406398,1.983626,0.23223427,1.7677668,0.24729215,0.731,0.6651731035032482
weasel,bad,5,4,0,1.3861787,0.37091327,2.0172765,0.8938337,1.6666666,0.72791284,0.638,0.5474310524836201
weasel,bad,5,5,0,1.6126435,0.23915887,1.5496341,0.14165317,1.5811388,0.19905737,0.567,0.45952782437886286
