lf_type,n_lfs,seed,good_mean,bad_mean
bad,0,0,0.9915163347705545,
bad,0,1,0.9748827091315475,
bad,0,2,0.9909855377078861,
bad,0,3,0.9947155067264466,
bad,0,4,0.9988550366154575,
bad,0,5,0.990288530245157,
bad,0,6,0.9900718458910692,
bad,0,7,0.9915353503177325,
bad,0,8,0.9976680677489587,
bad,0,9,0.9929017766178962,
bad,1,0,0.9978011555474138,0.6792510461899697
bad,1,1,0.9926221597067848,0.6837648930300235
bad,1,2,0.97084313725858,0.6922959315808466
bad,1,3,0.9814650859737275,0.6848114622280933
bad,1,4,0.9987982340944688,0.6805691789603308
bad,1,5,0.9975761243015058,0.6809086084904021
bad,1,6,0.9948045632521751,0.6806626255493373
bad,1,7,0.985110578022635,0.6830041825917486
bad,1,8,0.9949538413018967,0.680988004958617
bad,1,9,0.9880417562258199,0.6845798088674147
bad,2,0,0.9616778260042992,0.7860420472133717
bad,2,1,0.97822033630906,0.7863188434825241
bad,2,2,0.9670136332593126,0.7903670759056376
bad,2,3,0.9431809595308334,0.7892707785596242
bad,2,4,0.9733559048396577,0.7797254185328601
bad,2,5,0.9765042552370868,0.7821249274832389
bad,2,6,0.9763225068939141,0.7679224205804389
bad,2,7,0.9768294818325917,0.7838218328830634
bad,2,8,0.9646577678894757,0.7866800064674253
bad,2,9,0.9719129922499807,0.7842451613814001
bad,3,0,0.9538272799564089,0.8471441871119989
bad,3,1,0.9458381608371491,0.8499820462487552
bad,3,2,0.942733315398586,0.8488551524517401
bad,3,3,0.9359230558502327,0.8467763725705003
bad,3,4,0.947967605454822,0.8484758504287493
bad,3,5,0.9487104614588086,0.8476741534296789
bad,3,6,0.9405322953170059,0.8401504593298265
bad,3,7,0.9428147999873492,0.845275661782155
bad,3,8,0.9411800843262021,0.8481860130231204
bad,3,9,0.9524903647296444,0.8466757410227559
bad,4,0,0.9143493433966385,0.8867795953483404
bad,4,1,0.9202578787875263,0.8837083566282755
bad,4,2,0.9230371212750812,0.8868645682652974
bad,4,3,0.9209937130927164,0.8727653325580267
bad,4,4,0.9270293745992764,0.8824501861007472
bad,4,5,0.9295609476896795,0.8755377774986381
bad,4,6,0.9146743859859189,0.8815425684251375
bad,4,7,0.9231314165281901,0.8847848476483663
bad,4,8,0.9301166373460873,0.883425713899166
bad,4,9,0.9240671519688128,0.8831200828997191
bad,5,0,0.9044189729880721,0.8977555396480419
bad,5,1,0.9096603309414746,0.9094987239842822
bad,5,2,0.9024331657988341,0.9108997468771165
bad,5,3,0.8926146006964715,0.9080772971941997
bad,5,4,0.9088228845601247,0.8982970979258914
bad,5,5,0.9118225610065022,0.9027562496409753
bad,5,6,0.9040111679761097,0.9056098230876346
bad,5,7,0.9087853302992184,0.9026628836512822
bad,5,8,0.9062580777881444,0.901999686260989
bad,5,9,0.9020685879995034,0.9092775377485672
bad,6,0,0.8927705201230778,0.923987512935741
bad,6,1,0.8877947006538454,0.9287218583408109
bad,6,2,0.8881716577113299,0.9283391917802427
bad,6,3,0.879007423998846,0.9275144106203831
bad,6,4,0.8927594426064328,0.9254514524505019
bad,6,5,0.8908360065042193,0.927548183851767
bad,6,6,0.8722540836326816,0.9209533910676192
bad,6,7,0.8902967867411243,0.919919284704112
bad,6,8,0.8920303375048201,0.9133978120087054
bad,6,9,0.8927027903827431,0.9142544969301811
bad,7,0,0.8725525622583794,0.9252134495588121
bad,7,1,0.8662308549754151,0.9417786321782965
bad,7,2,0.8706516854928316,0.9365138766623023
bad,7,3,0.8729385287295722,0.9375752123450144
bad,7,4,0.8769067645171219,0.9378618037939176
bad,7,5,0.868801086124987,0.9412500428211673
bad,7,6,0.8787118197341979,0.9286893235516459
bad,7,7,0.8735388369474599,0.9329218271819898
bad,7,8,0.8679258826593552,0.9339129687394859
bad,7,9,0.8773988924058091,0.9350439490392868
bad,8,0,0.8498943301303863,0.9438583138398902
bad,8,1,0.8443431064849098,0.9500677597694736
bad,8,2,0.8528824190886357,0.9444058689513954
bad,8,3,0.8615376886498403,0.945177766401788
bad,8,4,0.8605952498092828,0.9496009679556195
bad,8,5,0.8566563334363962,0.9466372145958237
bad,8,6,0.8624603629112515,0.9331361794874512
bad,8,7,0.8626940349092379,0.9452051714638243
bad,8,8,0.8542549465201166,0.9479121660852752
bad,8,9,0.8613764477498729,0.9390258725668751
bad,9,0,0.8471495432931455,0.9527014492909234
bad,9,1,0.8502937544377275,0.9542445515214335
bad,9,2,0.8439361414540182,0.9578862588232647
bad,9,3,0.8352741329224015,0.9505755035439365
bad,9,4,0.8510965645724463,0.956372812115554
bad,9,5,0.8503253764815952,0.9497297606585211
bad,9,6,0.8454960116730857,0.9394371484064935
bad,9,7,0.8490744882882965,0.9569010576864625
bad,9,8,0.8455691679439263,0.9544877190107017
bad,9,9,0.8497182839999088,0.9438840179561969
random,0,0,0.9915163347705545,
random,0,1,0.9748827091315475,
random,0,2,0.9909855377078861,
random,0,3,0.9947155067264466,
random,0,4,0.9988550366154575,
random,0,5,0.990288530245157,
random,0,6,0.9900718458910692,
random,0,7,0.9915353503177325,
random,0,8,0.9976680677489587,
random,0,9,0.9929017766178962,
random,1,0,0.9978015524394681,0.681031564828212
random,1,1,0.9926069289645181,0.6844678443328777
random,1,2,0.9708372858814294,0.6938113616272477
random,1,3,0.9814421655515186,0.6884991093834695
random,1,4,0.9987903303430017,0.6778713644098646
random,1,5,0.9975762835049826,0.680877422160805
random,1,6,0.9947793401240983,0.678245195147923
random,1,7,0.9850951558892598,0.6829455490231846
random,1,8,0.9949632623877538,0.6828973767105616
random,1,9,0.9880431653334737,0.6855395766117786
random,2,0,0.9697005624645518,0.724830619209494
random,2,1,0.986093270444632,0.7195480432715184
random,2,2,0.9750047450096435,0.7233162981351398
random,2,3,0.9504816137363834,0.7302586716381978
random,2,4,0.9805935357365335,0.7207271942204403
random,2,5,0.9841782326676529,0.7212719532170626
random,2,6,0.9824859854258218,0.7200953838002694
random,2,7,0.98487486883333,0.7204737221466242
random,2,8,0.9720836249883685,0.7234055083510647
random,2,9,0.9794367673916788,0.721041877818515
random,3,0,0.9709590989859815,0.743780096208804
random,3,1,0.9629671374028105,0.7450521224305939
random,3,2,0.9594251031257361,0.7456295087406456
random,3,3,0.9525705907977983,0.7467234455809164
random,3,4,0.9655395209594649,0.743404538765548
random,3,5,0.965896697077862,0.7442384906499662
random,3,6,0.9563546705194597,0.7458781642724923
random,3,7,0.9597006883723909,0.7444427006432588
random,3,8,0.9585829407585285,0.7462934201387119
random,3,9,0.969430585595647,0.7429950957134844
random,4,0,0.9391322118376184,0.7600354470714611
random,4,1,0.945598698570952,0.7600324313944244
random,4,2,0.9488752908793773,0.7584568883245157
random,4,3,0.9448625255089287,0.7586292704738697
random,4,4,0.952015930599894,0.7584274185542721
random,4,5,0.953909495913179,0.7578694716899745
random,4,6,0.9395634987558429,0.7604967198634331
random,4,7,0.9493903839605252,0.7581579709843704
random,4,8,0.955805276393259,0.7568386200464652
random,4,9,0.9497653126748913,0.7590224785175741
random,5,0,0.935688577847924,0.7682460458009153
random,5,1,0.9425806195390154,0.7671503053972947
random,5,2,0.9347386109389078,0.7676898330972798
random,5,3,0.9249223365424164,0.7688930181849019
random,5,4,0.9397470280256355,0.7667260962007072
random,5,5,0.943395642278627,0.7662751666843527
random,5,6,0.9361561648342519,0.7670424266446486
random,5,7,0.9413257987928176,0.7672994423681314
random,5,8,0.9382733777413133,0.7679958444416883
random,5,9,0.9348512462218368,0.7683544049662554
random,6,0,0.9319904944473928,0.7734911860171075
random,6,1,0.9269241838191753,0.7741355826924984
random,6,2,0.9276501511805206,0.774081469477227
random,6,3,0.9185670876663108,0.7754376367316245
random,6,4,0.9323362473121023,0.7736560941277939
random,6,5,0.9298295411157962,0.773902581507877
random,6,6,0.9110415727120541,0.7761788811600691
random,6,7,0.9303011740582511,0.7736527333345867
random,6,8,0.9299629463387475,0.77371377953673
random,6,9,0.9297494878725816,0.7742710773057118
random,7,0,0.914561230339026,0.7794805749535908
random,7,1,0.910584740224073,0.7793882579197806
random,7,2,0.9154863000992597,0.779196740438921
random,7,3,0.9186116640169534,0.7788647158325116
random,7,4,0.9226196321077312,0.7782834374256372
random,7,5,0.9150807602186429,0.7796316909413579
random,7,6,0.9231887491898384,0.7784464392714595
random,7,7,0.9189336413161469,0.7784147037378173
random,7,8,0.912842801465913,0.7794029690051973
random,7,9,0.9221458251185674,0.7782759302788657
random,8,0,0.9008255592224972,0.7836394451381298
random,8,1,0.8939394160584333,0.7840853339222618
random,8,2,0.9017354511310035,0.783268276035924
random,8,3,0.9109839710981988,0.78228348287901
random,8,4,0.9103939684890147,0.7819619372555495
random,8,5,0.9067512223073037,0.7829797217646979
random,8,6,0.9101370178826048,0.7824171578979406
random,8,7,0.9143662890437951,0.7818021322043011
random,8,8,0.9044204981631847,0.7824932079005935
random,8,9,0.9106324496384535,0.7824486693451894
random,9,0,0.900945244138256,0.785546292508733
random,9,1,0.9043406207796156,0.7849285344439073
random,9,2,0.8983505363310463,0.7851997371354602
random,9,3,0.8894170454073296,0.7864015284915058
random,9,4,0.9054498016918828,0.7846210831333236
random,9,5,0.9030797403866574,0.7853543355721081
random,9,6,0.896408547341486,0.7855846542674592
random,9,7,0.904791821361868,0.7843698369745835
random,9,8,0.9009721974622554,0.7851540457968518
random,9,9,0.9027440370500885,0.7854750292645865
constant,0,0,0.9915163347705545,
constant,0,1,0.9748827091315475,
constant,0,2,0.9909855377078861,
constant,0,3,0.9947155067264466,
constant,0,4,0.9988550366154575,
constant,0,5,0.990288530245157,
constant,0,6,0.9900718458910692,
constant,0,7,0.9915353503177325,
constant,0,8,0.9976680677489587,
constant,0,9,0.9929017766178962,
constant,1,0,0.9978008008156134,0.6813373125299362
constant,1,1,0.9926062670369715,0.6839751579237547
constant,1,2,0.9708336911650406,0.6941497363106233
constant,1,3,0.9814415632861195,0.6871238911597318
constant,1,4,0.9987902243220091,0.6811447015688072
constant,1,5,0.9975768466029049,0.6792719026217116
constant,1,6,0.9947797248156165,0.6832631673322822
constant,1,7,0.9850943673358687,0.6841807670460828
constant,1,8,0.9949618947273375,0.6758716875543754
constant,1,9,0.9880419644122078,0.6839068264714907
constant,2,0,0.9615410530678931,0.7918445187832259
constant,2,1,0.9781197112315322,0.787518755747983
constant,2,2,0.9671269165862568,0.7915605695362234
constant,2,3,0.9427104757669117,0.7979018972022403
constant,2,4,0.9725777954400382,0.7878638075726399
constant,2,5,0.9759946392450326,0.7866214119306335
constant,2,6,0.9748376253386123,0.7885111302071998
constant,2,7,0.9768277207147781,0.7861706658900887
constant,2,8,0.9641351844671417,0.786986166633383
constant,2,9,0.9715273210554993,0.7877776393542486
constant,3,0,0.9540764200586824,0.8479767470502718
constant,3,1,0.945804728694478,0.8498852212226989
constant,3,2,0.9428600450949652,0.8511335524251699
constant,3,3,0.9355997275562867,0.8517110772964219
constant,3,4,0.9477779808538788,0.8488811888323747
constant,3,5,0.9483693190728475,0.8481321936882736
constant,3,6,0.9397832283169041,0.8516404713995905
constant,3,7,0.9425484388755869,0.8489651250708947
constant,3,8,0.9403902622831997,0.8475092459600789
constant,3,9,0.9521201312532808,0.8478198266491356
constant,4,0,0.9142225241138826,0.8892768192823194
constant,4,1,0.919131565907812,0.8875714827789796
constant,4,2,0.9227267537219154,0.8867542969149179
constant,4,3,0.9194446452951736,0.8878936773397357
constant,4,4,0.9263047496756875,0.8866161396084291
constant,4,5,0.9276968495948713,0.885782443568736
constant,4,6,0.9141959734053173,0.8894171456198645
constant,4,7,0.9232570524617622,0.8862861794242669
