lf_type,n_lfs,seed,good_mean,bad_mean
bad,0,0,0.4657272284444316,
bad,0,1,0.4784675715755733,
bad,0,2,0.08607591053194477,
bad,0,3,0.3117141537401137,
bad,0,4,0.17763796212568866,
bad,0,5,0.24426624049638912,
bad,0,6,0.1339921922938183,
bad,0,7,0.20877169220773015,
bad,0,8,0.5490105022451697,
bad,0,9,0.687513165432845,
bad,1,0,0.470523038535094,0.39084809430184064
bad,1,1,0.4895582541461533,0.40918494923956406
bad,1,2,0.7438602182503704,0.6254362370407973
bad,1,3,0.3101368993060987,0.26479472697080597
bad,1,4,0.7585389335176809,0.6179200625794623
bad,1,5,0.2484633025915694,0.2103849555974362
bad,1,6,0.34930352287398686,0.2934272433572387
bad,1,7,0.20958894462070393,0.1803126614443502
bad,1,8,0.547522451166939,0.4543998966724696
bad,1,9,0.6788472413508243,0.5633501856686136
bad,2,0,0.24827235237282091,0.22253648099288892
bad,2,1,0.49456892837864486,0.430520814392904
bad,2,2,0.7467701079458887,0.6489666712230511
bad,2,3,0.036298612118280685,0.036261030854321474
bad,2,4,0.7436268248214579,0.6380678555603807
bad,2,5,0.25093183180216827,0.2212928050933789
bad,2,6,0.11449849824475862,0.10297318042415543
bad,2,7,0.5247580608751887,0.45572059367220286
bad,2,8,0.5415230784496963,0.47656931118925105
bad,2,9,0.67672888392289,0.5859531143802239
bad,3,0,0.25534860547697347,0.2354538392744867
bad,3,1,0.4909742320306815,0.45325138196673587
bad,3,2,0.7342285018723416,0.6719255858827088
bad,3,3,0.03682386341159778,0.03681279527800533
bad,3,4,0.7319777720136313,0.6667756677370414
bad,3,5,0.2524684559606207,0.2338667897968508
bad,3,6,0.7436161429141874,0.6765874178820361
bad,3,7,0.5188603793872307,0.47767787591492167
bad,3,8,0.5413355965275587,0.5006416256098242
bad,3,9,0.6749128631818945,0.6125425658698912
bad,4,0,0.25258170521740697,0.24745165840924271
bad,4,1,0.10851763489992186,0.10600180522484692
bad,4,2,0.7241508626180957,0.696467258077194
bad,4,3,0.6923906940292355,0.658481920683818
bad,4,4,0.7220468376331736,0.6874727836972112
bad,4,5,0.2555474540960474,0.24347310085534973
bad,4,6,0.11565443991575575,0.11316831032497532
bad,4,7,0.5205054730051039,0.5018891513704826
bad,4,8,0.5489003779853764,0.5238482732238938
bad,4,9,0.66288775341349,0.6353017075794003
bad,5,0,0.2575638383381203,0.2556532782502523
bad,5,1,0.11087499754975312,0.11083503722617864
bad,5,2,0.11274766838282117,0.11348442893011794
bad,5,3,0.6745885316313192,0.6903594142426561
bad,5,4,0.5169115228748111,0.5101227586065765
bad,5,5,0.2589699200660987,0.2561200118759398
bad,5,6,0.11808656773250352,0.11820464459990246
bad,5,7,0.5242767427549625,0.5200054647523554
bad,5,8,0.5445364827483768,0.5417450488533175
bad,5,9,0.6542366982733361,0.6604838083280244
bad,6,0,0.26267774461017357,0.27147695606070615
bad,6,1,0.11170822164628129,0.11567922855125719
bad,6,2,0.701508996651986,0.7419233844694534
bad,6,3,0.6680617889296145,0.7167298358147045
bad,6,4,0.18975770808723266,0.19583793435049943
bad,6,5,0.10982329249969,0.11312732337196418
bad,6,6,0.11750112900405889,0.12262572219563615
bad,6,7,0.5230455886766917,0.5417725901223283
bad,6,8,0.5455976430638311,0.5589904965286044
bad,6,9,0.6539324795385951,0.6707886691153798
bad,7,0,0.2626072504940341,0.2784799008582069
bad,7,1,0.11237431656715069,0.12046403698453842
bad,7,2,0.11550917810596413,0.12260935333099823
bad,7,3,0.6677228195915346,0.7374796103760322
