lf_type,n_lfs,seed,good_mean,bad_mean
constant,0,0,2.2360680103302,
constant,0,1,2.2360680103302,
constant,0,2,2.2360680103302,
constant,0,3,2.2360680103302,
constant,0,4,2.2360680103302,
constant,0,5,2.2360680103302,
constant,0,6,2.2360680103302,
constant,0,7,2.2360680103302,
constant,0,8,2.2360680103302,
constant,0,9,2.2360682487487793,
constant,1,0,1.957798719406128,2.4584555625915527
constant,1,1,1.8294836282730103,3.100031852722168
constant,1,2,1.8151617050170898,3.171640634536743
constant,1,3,1.9420826435089111,2.5370357036590576
constant,1,4,1.7555046081542969,3.469925880432129
constant,1,5,1.8247407674789429,3.1237452030181885
constant,1,6,1.932861328125,2.583141803741455
constant,1,7,1.8233754634857178,3.1305713653564453
constant,1,8,1.8322422504425049,3.086238145828247
constant,1,9,1.9794676303863525,2.350111246109009
constant,2,0,1.9052274227142334,1.8513097763061523
constant,2,1,2.0218520164489746,1.5597476959228516
constant,2,2,2.0307860374450684,1.5374133586883545
constant,2,3,2.0108304023742676,1.5873026847839355
constant,2,4,2.0245699882507324,1.5529531240463257
constant,2,5,1.9292457103729248,1.7912640571594238
constant,2,6,2.0798983573913574,1.4146325588226318
constant,2,7,2.106192111968994,1.3488985300064087
constant,2,8,2.1097397804260254,1.3400293588638306
constant,2,9,2.134564161300659,1.277968168258667
constant,3,0,1.9985748529434204,1.3830868005752563
constant,3,1,2.070945978164673,1.2624691724777222
constant,3,2,2.08488392829895,1.2392387390136719
constant,3,3,2.116091251373291,1.187226414680481
constant,3,4,2.197371244430542,1.0517597198486328
constant,3,5,2.192579746246338,1.0597456693649292
constant,3,6,2.0322680473327637,1.3269315958023071
constant,3,7,2.0914838314056396,1.2282389402389526
constant,3,8,2.2209346294403076,1.0124876499176025
constant,3,9,2.2663838863372803,0.9367383122444153
constant,4,0,2.221674919128418,0.9729063510894775
constant,4,1,2.10573673248291,1.1178290843963623
constant,4,2,2.129061222076416,1.0886733531951904
constant,4,3,2.126041889190674,1.0924477577209473
constant,4,4,2.2639319896698,0.9200847148895264
constant,4,5,2.1429901123046875,1.0712621212005615
constant,4,6,2.070974111557007,1.1612823009490967
constant,4,7,2.1665329933166504,1.041833758354187
constant,4,8,2.23386549949646,0.957668125629425
constant,4,9,2.1642417907714844,1.0446977615356445
constant,5,0,2.174783229827881,0.987494170665741
constant,5,1,2.2740516662597656,0.8882260322570801
constant,5,2,2.369225025177002,0.7930526733398438
constant,5,3,2.159687042236328,1.002590537071228
constant,5,4,2.1660819053649902,0.9961956739425659
constant,5,5,2.064755916595459,1.0975215435028076
constant,5,6,2.20902681350708,0.9532510042190552
constant,5,7,2.2939696311950684,0.8683077692985535
constant,5,8,2.2105700969696045,0.9517073631286621
constant,5,9,2.3149330615997314,0.8473445177078247
constant,6,0,2.369830846786499,0.7889949679374695
constant,6,1,2.5626509189605713,0.6283117532730103
constant,6,2,2.367974042892456,0.7905423641204834
constant,6,3,2.3270249366760254,0.8246667385101318
constant,6,4,2.3270599842071533,0.8246374726295471
constant,6,5,2.1651265621185303,0.9595819115638733
constant,6,6,2.2808752059936523,0.8631247878074646
constant,6,7,2.313628673553467,0.8358302712440491
constant,6,8,2.3576042652130127,0.7991837859153748
constant,6,9,2.205331325531006,0.9260779023170471
constant,7,0,2.4431815147399902,0.7292287945747375
constant,7,1,2.4747531414031982,0.7066774964332581
constant,7,2,2.440487861633301,0.7311528921127319
constant,7,3,2.591885566711426,0.6230115294456482
constant,7,4,2.375319004058838,0.7777019739151001
constant,7,5,2.414720058441162,0.7495582699775696
constant,7,6,2.5101237297058105,0.6814129948616028
constant,7,7,2.1894869804382324,0.9104391932487488
constant,7,8,2.3892478942871094,0.7677527070045471
constant,7,9,2.315020799636841,0.8207720518112183
constant,8,0,2.4616191387176514,0.714957594871521
constant,8,1,2.3084259033203125,0.8107033371925354
constant,8,2,2.649750232696533,0.5973756313323975
constant,8,3,2.526947021484375,0.6741276979446411
constant,8,4,2.497955799102783,0.6922471523284912
constant,8,5,2.486110210418701,0.6996505260467529
constant,8,6,2.3316032886505127,0.7962175011634827
constant,8,7,2.380913496017456,0.765398383140564
constant,8,8,2.40198016166687,0.7522318363189697
constant,8,9,2.3943588733673096,0.7569952011108398
constant,9,0,2.4864535331726074,0.6973354816436768
constant,9,1,2.4004669189453125,0.7451057434082031
constant,9,2,2.6139259338378906,0.6265174150466919
constant,9,3,2.534489154815674,0.6706490516662598
constant,9,4,2.601806640625,0.6332502961158752
constant,9,5,2.479233503341675,0.7013465166091919
constant,9,6,2.318659782409668,0.7905542254447937
constant,9,7,2.707526445388794,0.5745170712471008
constant,9,8,2.59124493598938,0.6391180753707886
constant,9,9,2.6683292388916016,0.5962934494018555
bad,0,0,2.2360680103302,
bad,0,1,2.2360680103302,
bad,0,2,2.2360680103302,
bad,0,3,2.2360680103302,
bad,0,4,2.2360680103302,
bad,0,5,2.2360680103302,
bad,0,6,2.2360680103302,
bad,0,7,2.2360680103302,
bad,0,8,2.2360680103302,
bad,0,9,2.2360682487487793,
bad,1,0,1.6197391748428345,4.148752689361572
bad,1,1,1.5372960567474365,4.560969352722168
bad,1,2,1.540531039237976,4.544793605804443
bad,1,3,1.598110556602478,4.256896495819092
bad,1,4,1.5720983743667603,4.386957168579102
bad,1,5,1.625194787979126,4.121475696563721
bad,1,6,1.7229700088500977,3.632598876953125
bad,1,7,1.5679974555969238,4.407461643218994
bad,1,8,1.5493124723434448,4.5008864402771
bad,1,9,1.632509469985962,4.084900856018066
bad,2,0,1.5726549625396729,2.682741165161133
bad,2,1,1.5310862064361572,2.786663055419922
bad,2,2,1.487483263015747,2.8956706523895264
bad,2,3,1.5136722326278687,2.830198049545288
bad,2,4,1.5046052932739258,2.852865219116211
bad,2,5,1.5339248180389404,2.7795662879943848
bad,2,6,1.4700753688812256,2.93919038772583
bad,2,7,1.5564309358596802,2.723301410675049
bad,2,8,1.550640344619751,2.7377777099609375
bad,2,9,1.5771890878677368,2.671405553817749
bad,3,0,1.6382606029510498,1.983610987663269
bad,3,1,1.5313202142715454,2.161844491958618
bad,3,2,1.4373600482940674,2.3184454441070557
bad,3,3,1.5201189517974854,2.180513381958008
bad,3,4,1.5214488506317139,2.1782970428466797
bad,3,5,1.5950195789337158,2.0556793212890625
bad,3,6,1.4724407196044922,2.2599775791168213
bad,3,7,1.5885865688323975,2.0664007663726807
bad,3,8,1.606423020362854,2.0366735458374023
bad,3,9,1.765161156654358,1.772110104560852
bad,4,0,1.386178731918335,2.0172767639160156
bad,4,1,1.5583893060684204,1.8020132780075073
bad,4,2,1.4294947385787964,1.9631315469741821
bad,4,3,1.4687564373016357,1.9140546321868896
bad,4,4,1.6212255954742432,1.7234681844711304
bad,4,5,1.5699535608291626,1.7875580787658691
bad,4,6,1.5342729091644287,1.8321588039398193
bad,4,7,1.4426084756851196,1.9467394351959229
bad,4,8,1.6186603307724,1.7266745567321777
bad,4,9,1.742908239364624,1.5713646411895752
bad,5,0,1.6126435995101929,1.5496340990066528
bad,5,1,1.6208484172821045,1.5414289236068726
bad,5,2,1.5899183750152588,1.572359323501587
bad,5,3,1.2566521167755127,1.905625581741333
bad,5,4,1.6265621185302734,1.5357156991958618
bad,5,5,1.6794697046279907,1.4828078746795654
bad,5,6,1.5637218952178955,1.5985558032989502
bad,5,7,1.584157943725586,1.5781198740005493
bad,5,8,1.6276376247406006,1.5346399545669556
bad,5,9,1.6406562328338623,1.5216213464736938
bad,6,0,1.574887990951538,1.4514473676681519
bad,6,1,1.7357934713363647,1.317359447479248
bad,6,2,1.5622988939285278,1.4619383811950684
bad,6,3,1.339954137802124,1.6472254991531372
bad,6,4,1.6533561944961548,1.3860572576522827
bad,6,5,1.6384375095367432,1.3984895944595337
bad,6,6,1.5533958673477173,1.4693574905395508
bad,6,7,1.4934710264205933,1.5192947387695312
bad,6,8,1.876551866531372,1.2000608444213867
bad,6,9,1.8330528736114502,1.2363101243972778
bad,7,0,1.6020886898040771,1.3300094604492188
bad,7,1,1.6309263706207275,1.3094110488891602
bad,7,2,1.6314170360565186,1.3090604543685913
bad,7,3,1.2922855615615845,1.5512973070144653
bad,7,4,1.6066877841949463,1.3267242908477783
bad,7,5,1.6486141681671143,1.2967767715454102
bad,7,6,1.6942485570907593,1.2641808986663818
bad,7,7,1.6118404865264893,1.3230438232421875
bad,7,8,1.75966477394104,1.2174550294876099
bad,7,9,1.7990642786026,1.1893123388290405
bad,8,0,1.8065099716186523,1.1244006156921387
bad,8,1,1.6667022705078125,1.2117806673049927
bad,8,2,1.7705409526824951,1.146881341934204
bad,8,3,1.4889315366744995,1.3228873014450073
bad,8,4,1.8014971017837524,1.1275337934494019
bad,8,5,1.737012505531311,1.1678365468978882
